State Name , PC NAME , CANDIDATES NAME , SEX , AGE , CATEGORY , PARTY NAME , PARTY SYMBOL ,GENERAL , POSTAL , TOTAL ,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,Total Electors
Tamil Nadu,Perambalur,"Dr.PAARIVENDHAR, T. R",MALE,77,GENERAL,DMK,Rising Sun,677005,6692,683697,49.12135118,61.97623192,1391853
Tamil Nadu,Dharmapuri,DNV SENTHILKUMAR. S.,MALE,41,GENERAL,DMK,Rising Sun,568310,6678,574988,38.69877857,46.95830424,1485804
Tamil Nadu,Virudhunagar,"MANICKAM TAGORE, B.",MALE,44,GENERAL,INC,Hand,464667,6216,470883,31.72518757,43.76537048,1484256
Tamil Nadu,Tenkasi ,DHANUSH.M.KUMAR,MALE,44,SC,DMK,Rising Sun,470346,5810,476156,31.90716182,44.667207,1492317
Tamil Nadu,Tiruchirappalli,Thirunavukkarasar. SU,MALE,69,GENERAL,INC,Hand,615667,5618,621285,41.17297773,59.23888636,1508963
Tamil Nadu,Arakkonam,S. JAGATHRAKSHAKAN,MALE,71,GENERAL,DMK,Rising Sun,666688,5502,672190,44.81218867,56.97916102,1500016
Tamil Nadu,Tirunelveli,GNANATHIRAVIAM S,MALE,54,GENERAL,DMK,Rising Sun,517589,5404,522993,33.78944308,50.26893761,1547800
Tamil Nadu,Thanjavur,"PALANIMANICKAM,S.S.",MALE,68,GENERAL,DMK,Rising Sun,583621,5357,588978,40.31191224,55.56123662,1461052
Tamil Nadu,Kallakurichi,Gautham Sigamani Pon,MALE,44,GENERAL,DMK,Rising Sun,716961,4752,721713,47.20354913,59.89642595,1528938
Tamil Nadu,Erode,GANESHAMURTHI A,MALE,72,GENERAL,DMK,Rising Sun,558929,4662,563591,38.54283069,52.72118039,1462246
Tamil Nadu,Tiruvannamalai,ANNADURAI C N,MALE,45,GENERAL,DMK,Rising Sun,661719,4553,666272,45.20586052,57.84660585,1473862
Tamil Nadu,Arani,VISHNU PRASAD M K,MALE,46,GENERAL,INC,Hand,613390,4370,617760,42.62912742,53.9567497,1449150
Tamil Nadu,Karur,Jothimani S,FEMALE,43,GENERAL,INC,Hand,691518,4179,695697,50.14805887,63.03630243,1387286
Tamil Nadu,Kancheepuram ,Selvam.G,MALE,44,SC,DMK,Rising Sun,680087,3917,684004,41.60628519,55.24367649,1643992
Tamil Nadu,Salem,PARTHIBAN.S.R,MALE,49,GENERAL,DMK,Rising Sun,602453,3849,606302,37.59984422,48.25977251,1612512
Tamil Nadu,Mayiladuthurai,RAMALINGAM. S,MALE,74,GENERAL,DMK,Rising Sun,595845,3447,599292,40.3606579,54.59126601,1484842
Tamil Nadu,Coimbatore,NATARAJAN. P.R,MALE,68,GENERAL,CPM,"Hammer, Sickle and Star",567741,3409,571150,29.15661002,45.65806692,1958904
Tamil Nadu,Pollachi,SHANMUGA SUNDARAM. K,MALE,49,GENERAL,DMK,Rising Sun,550905,3325,554230,36.45041381,51.22803839,1520504
Tamil Nadu,Nagapattinam ,SELVARAJ M,MALE,63,SC,CPI,Ears of Corn And Sickle,519596,3296,522892,40.1098762,52.13696008,1303649
Tamil Nadu,Dharmapuri,ANBUMANI RAMADOSS,MALE,50,GENERAL,PMK,Mango,501013,3222,504235,33.93684497,41.18002556,1485804
Tamil Nadu,Thiruvallur ,Dr.K.Jayakumar,MALE,69,SC,INC,Hand,764093,3199,767292,39.41156831,54.48491584,1946870
Tamil Nadu,Tiruppur,"SUBBARAYAN, K.",MALE,71,GENERAL,CPI,Ears of Corn And Sickle,505793,2932,508725,33.24969575,45.41810368,1530014
Tamil Nadu,Namakkal,CHINRAJ A.K.P,MALE,54,GENERAL,DMK,Rising Sun,623370,2923,626293,44.3048559,55.22943886,1413599
Tamil Nadu,Madurai,VENKATESAN S,MALE,49,GENERAL,CPM,"Hammer, Sickle and Star",444152,2923,447075,29.04921684,43.95490413,1539026
Tamil Nadu,Viluppuram,RAVIKUMAR D,MALE,58,SC,DMK,Rising Sun,556675,2910,559585,38.74343556,49.25499385,1444335
Tamil Nadu,Thoothukkudi,KANIMOZHI KARUNANIDHI,FEMALE,51,GENERAL,DMK,Rising Sun,560345,2798,563143,39.44177792,56.77033611,1427783
Tamil Nadu,Dindigul,"VELUSAMY, P.",MALE,52,GENERAL,DMK,Rising Sun,743813,2710,746523,48.41638233,64.30382167,1541881
Tamil Nadu,Kanniyakumari,RADHAKRISHNAN. P,MALE,67,GENERAL,BJP,Lotus,364598,2704,367302,24.46641132,35.00024299,1501250
Tamil Nadu,Kanniyakumari,Vasanthakumar. H,MALE,68,GENERAL,INC,Hand,624627,2608,627235,41.78084929,59.76928362,1501250
Tamil Nadu,Cuddalore ,T. R. V .S. RAMESH,MALE,48,GENERAL,DMK,Rising Sun,519594,2566,522160,38.28045846,50.04504591,1364038
Tamil Nadu,Sriperumbudur,Baalu.T.R.,MALE,77,GENERAL,DMK,Rising Sun,790750,2531,793281,35.20298671,56.37489314,2253448
Tamil Nadu,Nilgiris ,"RAJA, A.",MALE,55,SC,DMK,Rising Sun,545463,2369,547832,40.10307014,54.18451529,1366060
Tamil Nadu,Ramanathapuram,K. NAVASKANI,MALE,39,GENERAL,IUML,Ladder,467585,2358,469943,30.12957288,44.04657131,1559740
Tamil Nadu,Theni ,"ELANGOVAN, E.V.K.S.",MALE,70,GENERAL,INC,Hand,425785,2335,428120,27.42530621,36.43549661,1561040
Tamil Nadu,Sivaganga,KARTI P CHIDAMBARAM,MALE,47,GENERAL,INC,Hand,564002,2102,566104,36.47532666,52.18000453,1552019
Tamil Nadu,Chennai North,Dr. KALANIDHI VEERASWAMY,MALE,49,GENERAL,DMK,Rising Sun,589034,1952,590986,39.72531746,61.82308137,1487681
Tamil Nadu,Krishnagiri,Dr.A.CHELLAKUMAR,MALE,58,GENERAL,INC,Hand,609396,1902,611298,39.94357046,52.59504437,1530404
Tamil Nadu,Tiruvannamalai,AGRI KRISHNAMURTHY S S,MALE,59,GENERAL,ADMK,Two Leaves,360256,1829,362085,24.56708973,31.43669294,1473862
Tamil Nadu,Chidambaram ,THIRUMAAVALAVAN THOL,MALE,56,SC,VCK,Pot,498401,1828,500229,33.79418763,43.33774887,1480222
Tamil Nadu,Chennai central,DAYANIDHI MARAN,MALE,52,GENERAL,DMK,Rising Sun,447150,1761,448911,33.69443819,57.13102142,1332300
Tamil Nadu,Arakkonam,A.K. MOORTHY,MALE,55,GENERAL,PMK,Mango,341527,1707,343234,22.88202259,29.0947282,1500016
Tamil Nadu,Arani,ELUMALAI V,MALE,63,GENERAL,ADMK,Two Leaves,385294,1660,386954,26.70213573,33.79755912,1449150
Tamil Nadu,Tenkasi ,Dr.KRISHNASAMY.K,MALE,66,SC,ADMK,Two Leaves,353735,1654,355389,23.81457827,33.33830515,1492317
Tamil Nadu,Chennai South,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,FEMALE,56,GENERAL,DMK,Rising Sun,563240,1632,564872,28.62237419,50.15106438,1973533
Tamil Nadu,Chidambaram ,CHANDRASEKAR P,MALE,46,SC,ADMK,Two Leaves,495432,1578,497010,33.57672025,43.05886817,1480222
Tamil Nadu,Cuddalore ,Dr. R. GOVINDASAMY,MALE,69,GENERAL,PMK,Mango,376628,1549,378177,27.72481412,36.24537561,1364038
Tamil Nadu,Ramanathapuram,NAINAR NAGENTHRAN,MALE,59,GENERAL,BJP,Lotus,341304,1517,342821,21.97936836,32.13174709,1559740
Tamil Nadu,Thoothukkudi,DR. TAMILISAI SOUNDARARAJAN,FEMALE,57,GENERAL,BJP,Lotus,214497,1437,215934,15.12372678,21.76826447,1427783
Tamil Nadu,Viluppuram,VADIVEL RAVANAN S,MALE,66,SC,PMK,Mango,430091,1426,431517,29.87651757,37.98237476,1444335
Tamil Nadu,Theni ,"RAVEENDRANATH KUMAR, P",MALE,39,GENERAL,ADMK,Two Leaves,503459,1354,504813,32.33824886,42.962516,1561040
Tamil Nadu,Virudhunagar,"ALAGARSAMY, R.",MALE,47,GENERAL,DMDK,Nagara,315055,1274,316329,21.31229384,29.40062792,1484256
Tamil Nadu,Salem,SARAVANAN.K.R.S,MALE,44,GENERAL,ADMK,Two Leaves,458118,1258,459376,28.4882221,36.56491527,1612512
Tamil Nadu,Tirunelveli,PAUL MANOJ PANDIAN,MALE,47,GENERAL,ADMK,Two Leaves,336070,1203,337273,21.79047681,32.41793943,1547800
Tamil Nadu,Coimbatore,RADHAKRISHNAN. C.P,MALE,61,GENERAL,BJP,Lotus,390823,1184,392007,20.01154727,31.33727014,1958904
Tamil Nadu,Krishnagiri,K.P.MUNUSAMY,MALE,67,GENERAL,ADMK,Two Leaves,453388,1145,454533,29.70019681,39.10724933,1530404
Tamil Nadu,Thiruvallur ,Dr.P.Venugopal,MALE,66,SC,ADMK,Two Leaves,409274,1063,410337,21.07675397,29.13776881,1946870
Tamil Nadu,Tenkasi ,PONNUTHAI. S,FEMALE,32,SC,IND,Gift Pack,91130,986,92116,6.17268315,8.641210948,1492317
Tamil Nadu,Kancheepuram ,Maragatham K,FEMALE,36,SC,ADMK,Two Leaves,396432,940,397372,24.17116385,32.09380386,1643992
Tamil Nadu,Theni ,THANGA TAMILSELVAN,MALE,58,GENERAL,IND,Gift Pack,143173,877,144050,9.227822477,12.259491,1561040
Tamil Nadu,Pollachi,MAHENDRAN. C,MALE,47,GENERAL,ADMK,Two Leaves,377546,801,378347,24.88299932,34.97099515,1520504
Tamil Nadu,Kallakurichi,Sudhish L K,MALE,51,GENERAL,DMDK,Nagara,321004,790,321794,21.0468966,26.70633686,1528938
Tamil Nadu,Dindigul,"JOTHIMUTHU, K.",MALE,48,GENERAL,PMK,Mango,206782,769,207551,13.46089614,17.87797897,1541881
Tamil Nadu,Perambalur,"SIVAPATHY, N.R",MALE,55,GENERAL,ADMK,Two Leaves,279439,740,280179,20.12992751,25.39785707,1391853
Tamil Nadu,Karur,Thambidurai M,MALE,73,GENERAL,ADMK,Two Leaves,274455,696,275151,19.83376175,24.93111462,1387286
Tamil Nadu,Sriperumbudur,Vaithilingam A,MALE,49,GENERAL,PMK,Mango,284673,653,285326,12.66175212,20.27682846,2253448
Tamil Nadu,Madurai,RAJ SATYEN V.V.R,MALE,36,GENERAL,ADMK,Two Leaves,307033,647,307680,19.99186498,30.2500585,1539026
Tamil Nadu,Erode,MANIMARAN G,MALE,52,GENERAL,ADMK,Two Leaves,352330,643,352973,24.13909835,33.01889705,1462246
Tamil Nadu,Tiruchirappalli,DR.Elangovan. V,MALE,70,GENERAL,DMDK,Nagara,161379,620,161999,10.73578345,15.44643819,1508963
Tamil Nadu,Ramanathapuram,"V.D.N. ANANDH. B.E.,",MALE,38,GENERAL,IND,Gift Pack,141195,611,141806,9.091643479,13.29111848,1559740
Tamil Nadu,Namakkal,KALIAPPAN P,MALE,70,GENERAL,ADMK,Two Leaves,360541,601,361142,25.54769776,31.84718656,1413599
Tamil Nadu,Tenkasi ,MATHIVANAN.S.S,MALE,32,SC,NTK,Ganna Kisan,58855,590,59445,3.98340299,5.576412185,1492317
Tamil Nadu,Virudhunagar,"PARAMASIVA IYYAPPAN, S.",MALE,45,GENERAL,IND,Gift Pack,107033,582,107615,7.250433887,10.00208193,1484256
Tamil Nadu,Chennai central,SAM PAUL. S.R.,MALE,41,GENERAL,PMK,Mango,146813,578,147391,11.06289875,18.7578348,1332300
Tamil Nadu,Tiruppur,"ANANDAN, M.S.M.",MALE,56,GENERAL,ADMK,Two Leaves,414782,575,415357,27.14726793,37.08236727,1530014
Tamil Nadu,Sivaganga,H.RAJA,MALE,61,GENERAL,BJP,Lotus,233295,565,233860,15.0681145,21.55578456,1552019
Tamil Nadu,Mayiladuthurai,ASAIMANI. S,MALE,64,GENERAL,ADMK,Two Leaves,337448,530,337978,22.76188308,30.78740731,1484842
Tamil Nadu,Nagapattinam ,SARAVANAN M,MALE,41,SC,ADMK,Two Leaves,311014,525,311539,23.89746013,31.06319547,1303649
Tamil Nadu,Dharmapuri,PALANIAPPAN. P.,MALE,57,GENERAL,IND,Gift Pack,53155,500,53655,3.611176171,4.381913734,1485804
Tamil Nadu,Chennai South,Dr.J.JAYAVARDHAN,MALE,31,GENERAL,ADMK,Two Leaves,302152,497,302649,15.3353909,26.87010417,1973533
Tamil Nadu,Thanjavur,"MURUGESAN, P.",MALE,62,GENERAL,IND,Gift Pack,102418,453,102871,7.040885608,9.704335259,1461052
Tamil Nadu,Virudhunagar,"ARULMOZHITHEVAN, K.",MALE,36,GENERAL,NTK,Ganna Kisan,52591,449,53040,3.573507535,4.929707062,1484256
Tamil Nadu,Tirunelveli,MICHAEL RAYAPPAN S,MALE,55,GENERAL,IND,Gift Pack,61786,449,62235,4.020868329,5.981891406,1547800
Tamil Nadu,Thanjavur,"NATARAJAN,N.R .",MALE,52,GENERAL,TMC(M),Auto- Rickshaw,220417,432,220849,15.11575221,20.83378929,1461052
Tamil Nadu,Madurai,DAVID ANNADURAI K,MALE,42,GENERAL,IND,Gift Pack,85318,429,85747,5.571510813,8.430355454,1539026
Tamil Nadu,Theni ,SHAGUL HAMEED,MALE,59,GENERAL,NTK,Ganna Kisan,27438,426,27864,1.78496387,2.37138811,1561040
Tamil Nadu,Tiruchirappalli,Sarubala. R. Thondaiman,FEMALE,60,GENERAL,IND,Gift Pack,100399,419,100818,6.681277142,9.612892707,1508963
Tamil Nadu,Thoothukkudi,"CHRISTANTINE RAJASEKAR, S.",MALE,55,GENERAL,NTK,Ganna Kisan,48814,408,49222,3.447442644,4.96206023,1427783
Tamil Nadu,Tirunelveli,SATHYA B,FEMALE,41,GENERAL,NTK,Ganna Kisan,49528,407,49935,3.226192014,4.799642442,1547800
Tamil Nadu,Chennai North,ALAGAAPURAM R. MOHANRAJ,MALE,65,GENERAL,DMDK,Nagara,129076,392,129468,8.702672145,13.54365535,1487681
Tamil Nadu,Dindigul,"MANSOORALI KHAN, A.",MALE,56,GENERAL,NTK,Ganna Kisan,54574,383,54957,3.564282847,4.733873073,1541881
Tamil Nadu,Nilgiris ,"THIYAGARAJAN, M.",MALE,59,SC,ADMK,Two Leaves,341649,360,342009,25.03616239,33.82714389,1366060
Tamil Nadu,Perambalur,"SHANTHI, K.",FEMALE,36,GENERAL,NTK,Ganna Kisan,53229,316,53545,3.847029823,4.853783676,1391853
Tamil Nadu,Virudhunagar,"MUNIYASAMY, V.",MALE,41,GENERAL,MNM,Battery Torch,56815,314,57129,3.848999094,5.309751786,1484256
Tamil Nadu,Tiruchirappalli,Vinoth. V,MALE,33,GENERAL,NTK,Ganna Kisan,64979,307,65286,4.326547437,6.224953017,1508963
Tamil Nadu,Thoothukkudi,"Dr. BHUVANESWARAN, M.",MALE,52,GENERAL,IND,Gift Pack,76569,297,76866,5.383591204,7.748846484,1427783
Tamil Nadu,Coimbatore,MAHENDRAN. R,MALE,55,GENERAL,MNM,Battery Torch,144808,296,145104,7.407407407,11.5996991,1958904
Tamil Nadu,Arakkonam,Y.R. PAVENDHAN,MALE,40,GENERAL,NTK,Ganna Kisan,29065,282,29347,1.956445798,2.487641051,1500016
Tamil Nadu,Ramanathapuram,T. BHUVANESWARI,FEMALE,37,GENERAL,NTK,Ganna Kisan,46125,260,46385,2.973893085,4.34754898,1559740
Tamil Nadu,Kanniyakumari,JAINTEEN. V,MALE,41,GENERAL,NTK,Ganna Kisan,16810,259,17069,1.136985845,1.626506656,1501250
Tamil Nadu,Arani,TAMIZHARASI A,FEMALE,37,GENERAL,NTK,Ganna Kisan,32151,258,32409,2.23641445,2.830685543,1449150
Tamil Nadu,Sivaganga,V.SAKTHI PRIYA,FEMALE,27,GENERAL,NTK,Ganna Kisan,71991,249,72240,4.654582193,6.658641394,1552019
Tamil Nadu,Tiruvannamalai,RAMESHBABU R,MALE,41,GENERAL,NTK,Ganna Kisan,27258,245,27503,1.866049874,2.387846406,1473862
Tamil Nadu,Krishnagiri,MADHUSOODHANAN.N,MALE,37,GENERAL,NTK,Ganna Kisan,27757,243,28000,1.829582254,2.409072567,1530404
Tamil Nadu,Nagapattinam ,MALATHI P,FEMALE,25,SC,NTK,Ganna Kisan,51207,241,51448,3.946461049,5.129820923,1303649
Tamil Nadu,Arakkonam,N.G. PARTHIBAN,MALE,43,GENERAL,IND,Gift Pack,66595,231,66826,4.455019146,5.664602886,1500016
Tamil Nadu,Sivaganga,V.PANDI,MALE,43,GENERAL,IND,Gift Pack,122325,209,122534,7.895135304,11.29443473,1552019
Tamil Nadu,Madurai,ALAGAR M,MALE,52,GENERAL,MNM,Battery Torch,84842,206,85048,5.526092477,8.361632135,1539026
Tamil Nadu,Virudhunagar,NOTA,,,,NOTA,,17087,205,17292,1.165028135,1.607173728,1484256
Tamil Nadu,Chennai central,KAMEELA NASSER,FEMALE,54,GENERAL,MNM,Battery Torch,92047,202,92249,6.924041132,11.74014358,1332300
Tamil Nadu,Dindigul,"SUTHAKARAN, S. Dr.",MALE,52,GENERAL,MNM,Battery Torch,38586,198,38784,2.515369215,3.340767022,1541881
Tamil Nadu,Dharmapuri,RUKMANIDEVI. R.,FEMALE,30,GENERAL,NTK,Ganna Kisan,19483,191,19674,1.324131581,1.606742537,1485804
Tamil Nadu,Salem,PRABHU MANIKANDAN.M,MALE,28,GENERAL,MNM,Battery Torch,58472,190,58662,3.637926415,4.669314591,1612512
Tamil Nadu,Chennai North,A. G. MOURYA,MALE,62,GENERAL,MNM,Battery Torch,102980,187,103167,6.934752813,10.79230614,1487681
Tamil Nadu,Thanjavur,"KRISHNAKUMAR,N.",MALE,44,GENERAL,NTK,Ganna Kisan,57740,184,57924,3.964540619,5.464260244,1461052
Tamil Nadu,Madurai,PANDIAMMAL J,FEMALE,38,GENERAL,NTK,Ganna Kisan,42721,180,42901,2.787542251,4.217881434,1539026
Tamil Nadu,Tenkasi ,MUNESHWARAN. K,MALE,44,SC,MNM,Battery Torch,23844,179,24023,1.609778619,2.253547816,1492317
Tamil Nadu,Thiruvallur ,Logarangan.M,MALE,35,SC,MNM,Battery Torch,73555,176,73731,3.787155794,5.235591313,1946870
Tamil Nadu,Arakkonam,"RAJENDRAN, N.",MALE,61,GENERAL,MNM,Battery Torch,23598,173,23771,1.58471643,2.014983318,1500016
Tamil Nadu,Theni ,"RADHAKRISHNAN, S.",MALE,51,GENERAL,MNM,Battery Torch,16708,171,16879,1.081266335,1.436500858,1561040
Tamil Nadu,Kancheepuram ,Sivaranjani.D,FEMALE,26,SC,NTK,Ganna Kisan,62607,164,62771,3.818205928,5.069708389,1643992
Tamil Nadu,Arakkonam,NOTA,,,,NOTA,,12015,164,12179,0.811924673,1.032370612,1500016
Tamil Nadu,Tiruchirappalli,Anandharaja. V,MALE,53,GENERAL,MNM,Battery Torch,41970,164,42134,2.792248717,4.017433606,1508963
Tamil Nadu,Thiruvallur ,M.VETRISELVI,FEMALE,42,SC,NTK,Ganna Kisan,65254,162,65416,3.360059994,4.645148463,1946870
Tamil Nadu,Erode,SEETHALAKSHMI M K,FEMALE,43,GENERAL,NTK,Ganna Kisan,38849,161,39010,2.66781376,3.649194623,1462246
Tamil Nadu,Tirunelveli,VENNIMALAI M,MALE,53,GENERAL,MNM,Battery Torch,22959,161,23120,1.49373304,2.222243582,1547800
Tamil Nadu,Dindigul,"JOTHI MURUGAN,P.",MALE,42,GENERAL,IND,Gift Pack,62719,156,62875,4.077811452,5.415911885,1541881
Tamil Nadu,Thoothukkudi,"SUBHASHINI MALLATHI, R.C.",FEMALE,39,SC,IND,Matchbox,7953,156,8109,0.567943448,0.81746671,1427783
Tamil Nadu,Tenkasi ,NOTA,,,,NOTA,,13900,156,14056,0.941891033,1.318564213,1492317
Tamil Nadu,Salem,RASA.A,MALE,57,GENERAL,NTK,Ganna Kisan,33741,149,33890,2.101689786,2.697539659,1612512
Tamil Nadu,Pollachi,MOOKAMBIKA. R,FEMALE,40,GENERAL,MNM,Battery Torch,59545,148,59693,3.925869317,5.51748425,1520504
Tamil Nadu,Erode,SARAVANAKUMAR A,MALE,43,GENERAL,MNM,Battery Torch,47574,145,47719,3.263404379,4.46387896,1462246
Tamil Nadu,Karur,Karuppaiya R,MALE,53,GENERAL,NTK,Ganna Kisan,38399,144,38543,2.778302383,3.492336757,1387286
Tamil Nadu,Kallakurichi,Sharfudeen S,MALE,40,GENERAL,NTK,Ganna Kisan,30103,143,30246,1.978235874,2.510176898,1528938
Tamil Nadu,Sriperumbudur,Sridhar M,MALE,46,GENERAL,MNM,Battery Torch,135383,142,135525,6.014117033,9.631148852,2253448
Tamil Nadu,Tiruvannamalai,ARUL R,MALE,44,GENERAL,MNM,Battery Torch,14512,142,14654,0.994258621,1.272279433,1473862
Tamil Nadu,Chidambaram ,SIVAJOTHI M,MALE,35,SC,NTK,Ganna Kisan,37329,142,37471,2.531444608,3.246330756,1480222
Tamil Nadu,Tiruchirappalli,NOTA,,,,NOTA,,14296,141,14437,0.956749768,1.376553116,1508963
Tamil Nadu,Namakkal,BASKAR B,MALE,44,GENERAL,NTK,Ganna Kisan,38394,137,38531,2.725737638,3.397843356,1413599
Tamil Nadu,Arakkonam,M. SAVITHA,FEMALE,33,SC,APoI,Coat,4362,136,4498,0.299863468,0.381279499,1500016
Tamil Nadu,Tiruvannamalai,GNANASEKAR A,MALE,47,GENERAL,IND,Gift Pack,38503,136,38639,2.621615864,3.354688481,1473862
Tamil Nadu,Dharmapuri,RAJASEKAR. D.,MALE,43,GENERAL,MNM,Battery Torch,15481,133,15614,1.050878851,1.275169156,1485804
Tamil Nadu,Theni ,NOTA,,,,NOTA,,10553,133,10686,0.684543638,0.909440617,1561040
Tamil Nadu,Virudhunagar,"KAVITHA, A.",FEMALE,41,GENERAL,AIDMMK,Balloon,1632,133,1765,0.118914796,0.164044739,1484256
Tamil Nadu,Salem,NOTA,,,,NOTA,,16998,132,17130,1.062317676,1.36349526,1612512
Tamil Nadu,Chennai South,R.RANGARAJAN,MALE,40,GENERAL,MNM,Battery Torch,135334,131,135465,6.86408588,12.02699715,1973533
Tamil Nadu,Nagapattinam ,SENGODI T,FEMALE,36,SC,IND,Gift Pack,70177,130,70307,5.393092773,7.010230128,1303649
Tamil Nadu,Viluppuram,PRAKALATHA D,FEMALE,30,SC,NTK,Ganna Kisan,24480,129,24609,1.703829098,2.166098347,1444335
Tamil Nadu,Coimbatore,KALYANA SUNDARAM. S,MALE,36,GENERAL,NTK,Ganna Kisan,60391,128,60519,3.089431641,4.837924455,1958904
Tamil Nadu,Cuddalore ,R. CHITHRA,FEMALE,40,GENERAL,NTK,Ganna Kisan,34565,127,34692,2.543330904,3.324963101,1364038
Tamil Nadu,Mayiladuthurai,SUBHASHINI. K,FEMALE,27,GENERAL,NTK,Ganna Kisan,40929,127,41056,2.765007994,3.739911458,1484842
Tamil Nadu,Dindigul,NOTA,,,,NOTA,,14051,126,14177,0.919461359,1.221175074,1541881
Tamil Nadu,Sriperumbudur,Mahendran.H,MALE,41,GENERAL,NTK,Ganna Kisan,84855,124,84979,3.771065496,6.039073221,2253448
Tamil Nadu,Ramanathapuram,VIJAYA BASKAR,MALE,30,GENERAL,MNM,Battery Torch,14802,123,14925,0.956890251,1.398882581,1559740
Tamil Nadu,Thoothukkudi,NOTA,,,,NOTA,,9113,121,9234,0.646736934,0.930877741,1427783
Tamil Nadu,Tiruppur,"CHANDIRAKUMAR, V.S.",MALE,46,GENERAL,MNM,Battery Torch,64538,119,64657,4.225909044,5.772467108,1530014
Tamil Nadu,Nilgiris ,"RAJENTHIRAN, N.",MALE,55,SC,MNM,Battery Torch,41055,114,41169,3.013703644,4.071909472,1366060
Tamil Nadu,Tiruppur,"JAGANATHAN, P.",MALE,50,GENERAL,NTK,Ganna Kisan,42079,110,42189,2.757425749,3.766562241,1530014
Tamil Nadu,Coimbatore,NOTA,,,,NOTA,,23081,109,23190,1.183825241,1.853822239,1958904
Tamil Nadu,Perambalur,NOTA,,,,NOTA,,11219,106,11325,0.813663512,1.026596323,1391853
Tamil Nadu,Thoothukkudi,"PON KUMARAN, T.P.S.",MALE,59,GENERAL,MNM,Battery Torch,25596,106,25702,1.800133494,2.591013612,1427783
Tamil Nadu,Namakkal,THANGAVELU R,MALE,57,GENERAL,MNM,Battery Torch,30842,105,30947,2.189234712,2.729050851,1413599
Tamil Nadu,Chennai North,KALIYAMMAL.P,FEMALE,33,GENERAL,NTK,Ganna Kisan,60411,104,60515,4.067740329,6.330477827,1487681
Tamil Nadu,Tirunelveli,NOTA,,,,NOTA,,10865,103,10968,0.708618685,1.054220052,1547800
Tamil Nadu,Arani,NOTA,,,,NOTA,,16819,102,16921,1.167650002,1.477923727,1449150
Tamil Nadu,Perambalur,"RAJASEKARAN, M.",MALE,58,GENERAL,IND,Gift Pack,45489,102,45591,3.275561428,4.13276406,1391853
